Price,Estimated owners,Positive,Negative,Genres,Owners_clean,Total_reviews,Review_score
0,1,129,27,"Casual,Indie",1,156,0.8269230769230769
70,242,11342,2155,Action,242,13497,0.8403348892346447
0,3,150,59,"Action,Indie",3,209,0.7177033492822966
0,1,1,0,"Indie,Racing,Simulation,Sports",1,1,1.0
0,7,57,24,"Animation & Modeling,Design & Illustration",7,81,0.7037037037037037
35,3,78,28,"Action,Adventure,Racing",3,106,0.7358490566037735
66,11,974,414,"Casual,Indie,Simulation",11,1388,0.7017291066282421
75,3,295,149,"Indie,Strategy",3,444,0.6644144144144144
0,1,2,0,"Casual,Indie",1,2,1.0
0,26,423,28,"Casual,Indie,Strategy",26,451,0.9379157427937915
85,3,228,25,"Action,Adventure,Casual,Indie,Simulation",3,253,0.9011857707509882
55,29,2819,65,"Action,Adventure,Indie",29,2884,0.9774618585298197
50,2,39,13,"Casual,Indie,Simulation",2,52,0.75
0,12,3943,3317,Strategy,12,7260,0.5431129476584022
85,91,8934,1788,Simulation,91,10722,0.8332400671516508
86,23,4690,664,"Action,Adventure",23,5354,0.8759805752708255
85,14,495,169,"Action,Adventure,Racing,Simulation,Sports",14,664,0.7454819277108434
0,4,1848,275,"Action,Indie",4,2123,0.8704663212435233
72,6,1028,1016,"Adventure,Casual,Indie,RPG,Simulation,Strategy",6,2044,0.50293542074364
60,22,684,87,"Action,Adventure",22,771,0.8871595330739299
83,3,160,52,"Action,Adventure,Indie",3,212,0.7547169811320755
80,14,2738,755,"Action,Indie,Massively Multiplayer,Racing,Simulation",14,3493,0.7838534211279702
45,105,5842,548,"Action,Adventure",105,6390,0.9142410015649453
0,95,10879,3974,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Free To Play",95,14853,0.7324446239816872
50,1,210,11,Indie,1,221,0.9502262443438914
0,1,9,0,"Indie,Strategy",1,9,1.0
0,30,296,118,"Action,Adventure",30,414,0.714975845410628
50,6,176,2,"Casual,Indie",6,178,0.9887640449438202
87,2,868,479,Adventure,2,1347,0.6443949517446177
50,1,19,9,"Action,Adventure,Indie",1,28,0.6785714285714286
20,8,1223,49,"Adventure,Casual,Indie",8,1272,0.9614779874213837
50,95,7128,586,"Casual,RPG,Strategy",95,7714,0.9240342234897588
80,1,887,73,"Action,Indie",1,960,0.9239583333333333
0,27,861,376,"Casual,Simulation,Strategy",27,1237,0.6960388035569928
0,16,133,25,"Adventure,Indie,RPG,Simulation,Early Access",16,158,0.8417721518987342
0,1,256,36,"RPG,Simulation",1,292,0.8767123287671232
30,3,465,105,"Adventure,Simulation,Strategy",3,570,0.8157894736842105
70,364,3549,1243,"Action,Adventure",364,4792,0.7406093489148581
0,3,56,9,Simulation,3,65,0.8615384615384616
86,1,171,57,"Action,Casual,Indie",1,228,0.75
80,10,1281,72,"Action,Adventure,Indie",10,1353,0.9467849223946785
0,1,292,8,"Indie,Simulation,Strategy",1,300,0.9733333333333334
70,1,438,114,Action,1,552,0.7934782608695652
75,4,405,78,"Action,Racing,Sports",4,483,0.8385093167701864
0,3,764,698,"Adventure,Free To Play,Indie",3,1462,0.5225718194254446
75,1,555,44,Indie,1,599,0.9265442404006677
0,1,59,20,"Free To Play,Simulation",1,79,0.7468354430379747
35,1,140,1,Indie,1,141,0.9929078014184397
82,1,326,202,"Adventure,Casual,Simulation",1,528,0.6174242424242424
80,1,42,1,Simulation,1,43,0.9767441860465116
50,7,261,45,"Indie,Simulation,Strategy",7,306,0.8529411764705882
0,2,175,4,Action,2,179,0.9776536312849162
0,12,4040,506,"Action,Adventure",12,4546,0.8886933567971843
0,1,773,89,Indie,1,862,0.8967517401392111
0,2,1109,192,"Action,Indie",2,1301,0.8524212144504227
55,10,605,131,"Indie,Racing,Strategy",10,736,0.8220108695652174
0,18,2070,431,Action,18,2501,0.8276689324270292
70,1,20,9,"Adventure,Casual,Indie",1,29,0.6896551724137931
90,1,496,175,"Adventure,Casual,Indie,RPG,Strategy",1,671,0.7391952309985097
75,70,43128,1925,"Adventure,Indie",70,45053,0.957272545668435
0,34,992,93,"Casual,Indie,Simulation",34,1085,0.9142857142857143
65,1,49,9,"Adventure,Indie",1,58,0.8448275862068966
70,1,159,27,"Adventure,Casual,Indie,Simulation",1,186,0.8548387096774194
0,1,1793,201,"Action,Adventure,Indie,RPG,Simulation",1,1994,0.899197592778335
70,7,777,77,Indie,7,854,0.9098360655737705
75,1,1293,237,"Action,Adventure,Casual,Indie",1,1530,0.8450980392156863
60,1,148,36,"Casual,Indie,Strategy",1,184,0.8043478260869565
65,1,40,35,"Action,Adventure,RPG",1,75,0.5333333333333333
25,3,138,8,"Animation & Modeling,Design & Illustration,Software Training,Utilities,Game Development",3,146,0.9452054794520548
30,28,30,25,"Casual,Indie,Simulation",28,55,0.5454545454545454
0,1,69,10,"Adventure,Casual,Indie,RPG,Early Access",1,79,0.8734177215189873
30,45,129,28,"Action,Adventure,Casual,Indie,RPG,Early Access",45,157,0.821656050955414
0,1,45,16,"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation,Strategy,Early Access",1,61,0.7377049180327869
50,50,1708,1678,"Casual,Indie,Massively Multiplayer,Strategy",50,3386,0.5044300059066745
80,2,1745,680,"Adventure,Indie,Strategy",2,2425,0.7195876288659794
60,89,525,103,"Adventure,Indie,Strategy",89,628,0.8359872611464968
85,30,4071,723,"Action,Indie,Racing",30,4794,0.8491864831038799
0,4,204,25,"Action,Adventure,Casual,Indie,RPG",4,229,0.8908296943231441
50,1,15,4,Action,1,19,0.7894736842105263
0,2,1785,235,"Free To Play,Indie",2,2020,0.8836633663366337
0,13,5227,730,"Action,Indie,Free To Play",13,5957,0.8774550948463992
60,47,3508,919,RPG,47,4427,0.7924102100745426
90,1,71,81,"Indie,RPG,Strategy",1,152,0.46710526315789475
0,1,8,4,"Casual,Simulation,Strategy",1,12,0.6666666666666666
0,5,26,3,Utilities,5,29,0.896551724137931
0,6,157,90,"Audio Production,Video Production",6,247,0.6356275303643725
0,13,308,98,"RPG,Strategy",13,406,0.7586206896551724
80,1,296,66,"Adventure,Indie,RPG",1,362,0.8176795580110497
75,1,69,32,"Action,Simulation",1,101,0.6831683168316832
65,1,289,51,"Adventure,Casual,Indie",1,340,0.85
0,1,8,0,"Casual,Indie,Strategy",1,8,1.0
50,1,322,95,"Adventure,Casual,Indie,RPG,Strategy",1,417,0.7721822541966427
60,3,264,108,"Adventure,Casual,Indie",3,372,0.7096774193548387
0,1,46,0,"Adventure,Indie,RPG,Strategy",1,46,1.0
70,1,460,84,"Action,Adventure,Indie,RPG",1,544,0.8455882352941176
0,1,525,55,"Action,Indie",1,580,0.9051724137931034
30,1,10,2,Casual,1,12,0.8333333333333334
0,60,1015,163,Strategy,60,1178,0.8616298811544991
80,1,85,12,"Action,Adventure,Casual",1,97,0.8762886597938144
0,1,142,52,"Casual,Indie",1,194,0.7319587628865979
65,1,66,21,"Action,Casual,Indie",1,87,0.7586206896551724
60,5,22,0,"Action,Adventure,Casual,Indie,RPG,Strategy",5,22,1.0
90,2,803,367,"Adventure,Racing,Simulation,Sports",2,1170,0.6863247863247863
0,21,2998,1521,"Adventure,Indie,RPG,Strategy",21,4519,0.6634211108652357
70,1,94,17,"RPG,Strategy",1,111,0.8468468468468469
0,27,26,7,Strategy,27,33,0.7878787878787878
20,2,53,21,"Simulation,Early Access",2,74,0.7162162162162162
60,2,553,26,"Adventure,Casual,Indie",2,579,0.9550949913644214
0,2,516,123,"Indie,Strategy",2,639,0.8075117370892019
0,1,52,9,"Casual,Indie,RPG",1,61,0.8524590163934426
0,14,304,94,"Adventure,Massively Multiplayer,Simulation,Strategy,Free To Play",14,398,0.7638190954773869
20,1,63,12,"Adventure,Indie,Simulation",1,75,0.84
50,12,3324,225,"Action,Indie",12,3549,0.9366018596787827
0,1,2559,330,"Adventure,Free To Play,Indie",1,2889,0.885773624091381
30,41,266,70,"Action,Adventure,Indie",41,336,0.7916666666666666
50,96,307,72,"Action,Casual,Indie,Strategy",96,379,0.8100263852242744
0,1,109,2,Casual,1,111,0.9819819819819819
80,1,2,3,"Indie,Simulation,Sports,Strategy",1,5,0.4
0,1,61,3,"RPG,Free To Play",1,64,0.953125
0,2,14,14,"Indie,RPG,Simulation,Strategy",2,28,0.5
71,6,321,202,"Action,Adventure,RPG",6,523,0.6137667304015296
40,28,32796,1633,"Action,Adventure,Casual",28,34429,0.9525690551569898
50,2,29,7,"Adventure,Casual,Simulation,Strategy",2,36,0.8055555555555556
75,3,464,132,"Action,Adventure,Indie,RPG",3,596,0.7785234899328859
0,6,165,6,Casual,6,171,0.9649122807017544
0,1,1042,186,"Action,Adventure,Indie",1,1228,0.8485342019543974
80,2,3148,281,"Indie,RPG",2,3429,0.9180519101778944
0,5,711,82,"Action,Adventure,Indie,RPG,Strategy",5,793,0.8965952080706179
0,1,16,40,"Animation & Modeling,Design & Illustration,Utilities,Early Access",1,56,0.2857142857142857
50,698,29504,9077,"Action,Adventure,Indie,Massively Multiplayer",698,38581,0.7647287524947513
